date,branch_id,region,recruited_today,disbursed_amount_ksh,daily_dues_ksh,collected_ksh,missed_calls,arrears_new_ksh,par_percent,daily_target_ksh
2024-12-22,BR001,Eastern,6,8121,42264,29215,1,0,2.81,1100000
2024-12-23,BR001,Eastern,4,6574,38415,32784,1,0,5.33,1100000
2024-12-24,BR001,Eastern,8,13857,37932,27904,3,0,3.59,1100000
2024-12-25,BR001,Eastern,6,11214,33096,24374,6,0,2.42,1100000
2024-12-26,BR001,Eastern,4,8507,39742,39532,0,0,1.28,1100000
2024-12-27,BR001,Eastern,6,6882,39627,27552,1,2,2.05,1100000
2024-12-28,BR001,Eastern,4,6960,41728,38648,1,1,2.31,1100000
2024-12-29,BR001,Eastern,10,21111,41341,36825,2,2,1.33,1100000
2024-12-30,BR001,Eastern,2,10671,41323,30494,3,0,5.13,1100000
2024-12-31,BR001,Eastern,16,11985,29396,27573,1,1,2.88,1100000
2025-01-01,BR001,Eastern,12,4877,31767,26078,2,0,1.04,1100000
2025-01-02,BR001,Eastern,8,8257,39329,37405,0,0,0.86,1100000
2025-01-03,BR001,Eastern,14,7547,42816,34141,1,0,2.02,1100000
2025-01-04,BR001,Eastern,16,17880,34220,33777,3,2,3.02,1100000
2025-01-05,BR001,Eastern,12,6482,31513,24815,1,0,0.56,1100000
2025-01-06,BR001,Eastern,4,6578,35133,36123,1,0,2.48,1100000
2025-01-07,BR001,Eastern,6,5562,34416,25348,0,1,4.63,1100000
2025-01-08,BR001,Eastern,6,5417,42830,27887,1,1,3.24,1100000
2025-01-09,BR001,Eastern,8,12591,40033,36147,0,1,4.99,1100000
2025-01-10,BR001,Eastern,16,2785,43427,43520,1,0,3.87,1100000
2025-01-11,BR001,Eastern,8,15533,36441,31499,0,0,1.17,1100000
2025-01-12,BR001,Eastern,8,5725,30725,22631,3,0,5.66,1100000
2025-01-13,BR001,Eastern,6,7253,43679,31962,3,0,2.05,1100000
2025-01-14,BR001,Eastern,12,12250,39809,39520,1,2,0.71,1100000
2025-01-15,BR001,Eastern,4,9928,34524,25990,0,1,2.47,1100000
2025-01-16,BR001,Eastern,8,11314,36909,25796,4,0,0.94,1100000
2025-01-17,BR001,Eastern,14,9167,42723,33906,2,0,3.93,1100000
2025-01-18,BR001,Eastern,12,10830,30425,24065,4,1,1.68,1100000
2025-01-19,BR001,Eastern,2,9137,33627,28935,3,4,1.11,1100000
2025-01-20,BR001,Eastern,6,6342,33940,27728,1,3,1.8,1100000
2025-01-21,BR001,Eastern,6,20062,38318,33407,2,0,3.71,1100000
2025-01-22,BR001,Eastern,12,17867,32337,25369,3,0,5.88,1100000
2025-01-23,BR001,Eastern,4,8765,43508,29113,5,3,3.61,1100000
2025-01-24,BR001,Eastern,10,11640,42246,38159,3,1,4.19,1100000
2025-01-25,BR001,Eastern,8,7850,36252,27975,1,2,2.97,1100000
2025-01-26,BR001,Eastern,8,8507,33381,26780,1,2,4.98,1100000
2025-01-27,BR001,Eastern,8,6882,33251,31844,1,2,4.41,1100000
2025-01-28,BR001,Eastern,8,4640,39942,34460,3,0,1.33,1100000
2025-01-29,BR001,Eastern,8,9382,41031,32553,3,2,5.68,1100000
2025-01-30,BR001,Eastern,12,11857,43705,43265,0,1,4.56,1100000
2025-01-31,BR001,Eastern,10,13483,30113,28330,0,2,4.81,1100000
2025-02-01,BR001,Eastern,4,6096,37233,36802,7,0,5.91,1100000
2025-02-02,BR001,Eastern,4,10321,43247,29307,0,1,2.12,1100000
2025-02-03,BR001,Eastern,6,2515,34593,27772,6,2,1.81,1100000
2025-02-04,BR001,Eastern,8,10217,43894,28548,0,1,5.19,1100000
2025-02-05,BR001,Eastern,4,8642,37268,36353,1,2,3.99,1100000
2025-02-06,BR001,Eastern,8,10964,31492,30190,0,1,3.02,1100000
2025-02-07,BR001,Eastern,4,5340,39956,31697,2,2,5.46,1100000
2025-02-08,BR001,Eastern,12,5642,42209,41847,1,0,5.36,1100000
2025-02-09,BR001,Eastern,12,8012,32854,32749,1,1,3.12,1100000
2025-02-10,BR001,Eastern,2,8125,33547,31578,2,1,4.87,1100000
2025-02-11,BR001,Eastern,4,9885,38741,28762,4,1,3.02,1100000
2025-02-12,BR001,Eastern,8,11928,39942,37416,1,1,2.18,1100000
2025-02-13,BR001,Eastern,10,4835,32072,31346,1,0,2.87,1100000
2025-02-14,BR001,Eastern,10,12250,38357,36344,6,1,5.37,1100000
2025-02-15,BR001,Eastern,12,8935,35998,35055,2,2,2.34,1100000
2025-02-16,BR001,Eastern,6,6034,31466,30959,2,1,4.13,1100000
2025-02-17,BR001,Eastern,8,3055,39591,41175,2,0,2.11,1100000
2025-02-18,BR001,Eastern,10,9282,42744,36033,2,2,4.18,1100000
2025-02-19,BR001,Eastern,4,12531,33561,33931,4,2,2.74,1100000
2025-02-20,BR001,Eastern,6,8457,41244,41460,2,0,1.14,1100000
2025-02-21,BR001,Eastern,8,6687,29439,21855,1,1,4.66,1100000
2025-02-22,BR001,Eastern,8,12994,37982,26851,2,0,3.6,1100000
2025-02-23,BR001,Eastern,2,5478,31658,20623,2,1,1.7,1100000
2025-02-24,BR001,Eastern,4,15242,36070,33269,1,5,4.39,1100000
2025-02-25,BR001,Eastern,12,18223,29855,27706,2,0,1.94,1100000
2025-02-26,BR001,Eastern,4,14178,33782,26881,1,0,2.0,1100000
2025-02-27,BR001,Eastern,8,11471,38263,37036,0,0,5.53,1100000
2025-02-28,BR001,Eastern,4,5800,34447,27179,2,0,5.33,1100000
2025-03-01,BR001,Eastern,6,4064,36791,38077,4,2,2.72,1100000
2025-03-02,BR001,Eastern,2,8257,31937,27640,3,0,3.23,1100000
2025-03-03,BR001,Eastern,10,8805,30717,21125,3,1,4.44,1100000
2025-03-04,BR001,Eastern,14,11707,32788,24053,5,3,1.69,1100000
2025-03-05,BR001,Eastern,6,5185,40793,26767,6,0,3.89,1100000
2025-03-06,BR001,Eastern,6,10525,41347,38470,0,0,3.11,1100000
2025-03-07,BR001,Eastern,4,5562,35167,24802,1,0,3.55,1100000
2025-03-08,BR001,Eastern,4,4514,37611,26191,2,3,1.76,1100000
2025-03-09,BR001,Eastern,10,9615,34344,32293,4,1,1.35,1100000
2025-03-10,BR001,Eastern,10,12767,32446,24408,3,0,5.22,1100000
2025-03-11,BR001,Eastern,8,11767,37899,36949,4,0,3.13,1100000
2025-03-12,BR001,Eastern,14,5964,42609,39964,4,0,5.03,1100000
2025-03-13,BR001,Eastern,6,8462,32229,25350,1,0,0.65,1100000
2025-03-14,BR001,Eastern,10,8575,29744,29146,3,2,4.42,1100000
2025-03-15,BR001,Eastern,8,7446,30190,21847,1,3,5.08,1100000
2025-03-16,BR001,Eastern,4,10057,37895,26418,1,1,0.92,1100000
2025-03-17,BR001,Eastern,8,2546,31843,33174,0,1,4.13,1100000
2025-03-18,BR001,Eastern,6,9025,37068,31821,3,2,0.6,1100000
2025-03-19,BR001,Eastern,14,10442,33747,25070,2,0,4.64,1100000
2025-03-20,BR001,Eastern,6,12685,34026,30052,3,0,3.9,1100000
2025-03-21,BR001,Eastern,6,8025,32147,29934,1,0,5.63,1100000
2025-03-22,BR001,Eastern,18,11370,41351,37295,2,1,4.2,1100000
2025-03-23,BR001,Eastern,4,8765,29926,19966,2,1,0.78,1100000
2025-03-24,BR001,Eastern,4,9977,31006,22539,2,1,4.13,1100000
2025-03-25,BR001,Eastern,6,7008,40918,37299,1,2,1.4,1100000
2025-03-26,BR001,Eastern,2,7089,39382,36043,3,0,5.95,1100000
2025-03-27,BR001,Eastern,6,10037,33912,30914,3,3,5.28,1100000
2025-03-28,BR001,Eastern,8,6959,39524,36041,0,2,0.58,1100000
2025-03-29,BR001,Eastern,14,8210,36276,31501,2,1,5.85,1100000
2025-03-30,BR001,Eastern,10,13339,43085,43942,2,0,1.94,1100000
2025-03-31,BR001,Eastern,12,8989,42276,44205,0,0,2.1,1100000
2025-04-01,BR001,Eastern,6,2438,30223,21248,2,1,1.67,1100000
2025-04-02,BR001,Eastern,2,9908,32025,21180,1,0,1.87,1100000
2025-04-03,BR001,Eastern,14,8805,34818,23306,3,2,3.1,1100000
2025-04-04,BR001,Eastern,22,9365,39968,30893,0,1,1.49,1100000
2025-04-05,BR001,Eastern,16,6050,42213,28234,3,2,5.86,1100000
2025-04-06,BR001,Eastern,12,7675,43378,45006,3,0,5.92,1100000
2025-04-07,BR001,Eastern,8,8900,38130,32675,0,1,5.26,1100000
2025-04-08,BR001,Eastern,8,6320,41256,36381,3,1,4.77,1100000
2025-04-09,BR001,Eastern,10,11904,34924,35237,1,0,1.27,1100000
2025-04-10,BR001,Eastern,2,5571,35062,28486,3,0,1.06,1100000
2025-04-11,BR001,Eastern,14,4707,37042,27911,0,0,2.52,1100000
2025-04-12,BR001,Eastern,2,4294,38570,33547,3,1,3.53,1100000
2025-04-13,BR001,Eastern,4,8704,40785,39232,2,2,3.4,1100000
2025-04-14,BR001,Eastern,10,17640,36363,30825,2,0,5.48,1100000
2025-04-15,BR001,Eastern,10,13403,34448,26764,1,0,3.76,1100000
2025-04-16,BR001,Eastern,14,13577,33130,26691,5,2,3.92,1100000
2025-04-17,BR001,Eastern,4,16806,33663,25831,3,3,1.23,1100000
2025-04-18,BR001,Eastern,14,7735,37255,29355,2,1,1.33,1100000
2025-04-19,BR001,Eastern,16,12531,41374,32396,2,1,1.62,1100000
2025-04-20,BR001,Eastern,4,4228,41947,41281,0,0,3.53,1100000
2025-04-21,BR001,Eastern,2,19259,41562,37839,3,2,3.02,1100000
2025-04-22,BR001,Eastern,4,6497,35111,32439,0,4,0.79,1100000
2025-04-23,BR001,Eastern,10,10957,33999,24863,2,1,3.0,1100000
2025-04-24,BR001,Eastern,8,11640,43069,38832,2,1,1.5,1100000
2025-04-25,BR001,Eastern,6,16821,40603,36594,2,1,1.84,1100000
2025-04-26,BR001,Eastern,8,6805,32661,29232,2,1,4.01,1100000
2025-04-27,BR001,Eastern,2,17207,34103,31276,2,3,5.79,1100000
2025-04-28,BR001,Eastern,6,9280,29581,24136,3,2,3.87,1100000
2025-04-29,BR001,Eastern,4,5864,40396,27032,1,1,1.48,1100000
2025-04-30,BR001,Eastern,4,19564,41959,40241,3,0,0.91,1100000
2024-11-01,BR002,Nyanza,8,4877,24707,16238,0,1,1.75,650000
2024-11-02,BR002,Nyanza,0,6192,18084,16980,5,0,0.9,650000
2024-11-03,BR002,Nyanza,0,5241,25374,25992,4,0,3.32,650000
2024-11-04,BR002,Nyanza,4,851,25174,23183,3,0,3.82,650000
2024-11-05,BR002,Nyanza,6,2592,25440,16838,3,2,3.3,650000
2024-11-06,BR002,Nyanza,4,3289,23687,21174,4,3,1.32,650000
2024-11-07,BR002,Nyanza,2,3337,23533,24659,2,1,5.94,650000
2024-11-08,BR002,Nyanza,6,4514,23396,17247,4,1,3.64,650000
2024-11-09,BR002,Nyanza,8,2289,19067,17087,2,0,3.66,650000
2024-11-10,BR002,Nyanza,10,5571,20443,14479,2,1,3.4,650000
2024-11-11,BR002,Nyanza,6,2824,17335,12519,4,4,4.17,650000
2024-11-12,BR002,Nyanza,2,2862,20101,16632,3,2,3.73,650000
2024-11-13,BR002,Nyanza,0,7253,21835,22315,4,1,2.33,650000
2024-11-14,BR002,Nyanza,0,1225,25381,23049,2,3,5.65,650000
2024-11-15,BR002,Nyanza,2,4467,19886,20523,1,1,4.85,650000
2024-11-16,BR002,Nyanza,4,4525,21630,19224,1,1,5.08,650000
2024-11-17,BR002,Nyanza,4,5092,25111,21966,1,3,5.45,650000
2024-11-18,BR002,Nyanza,4,0,19763,13827,0,1,1.58,650000
2024-11-19,BR002,Nyanza,2,5221,23362,23403,2,1,5.26,650000
2024-11-20,BR002,Nyanza,4,1321,25026,25321,1,0,4.64,650000
2024-11-21,BR002,Nyanza,6,4012,23513,17238,2,2,2.64,650000
2024-11-22,BR002,Nyanza,6,8121,23436,23665,2,0,3.05,650000
2024-11-23,BR002,Nyanza,6,2191,23481,20605,1,2,1.33,650000
2024-11-24,BR002,Nyanza,0,6651,24718,17428,4,0,5.58,650000
2024-11-25,BR002,Nyanza,8,6728,25941,22255,0,1,5.52,650000
2024-11-26,BR002,Nyanza,10,7089,22789,20296,2,0,4.6,650000
2024-11-27,BR002,Nyanza,4,5162,22081,17108,0,1,3.17,650000
2024-11-28,BR002,Nyanza,0,10440,20347,20219,3,1,2.41,650000
2024-11-29,BR002,Nyanza,2,3518,21770,21867,4,1,1.98,650000
2024-11-30,BR002,Nyanza,0,3557,22658,16970,0,0,0.93,650000
2024-12-01,BR002,Nyanza,0,3251,21231,20871,0,1,4.41,650000
2024-12-02,BR002,Nyanza,0,3096,17925,18035,4,0,1.9,650000
2024-12-03,BR002,Nyanza,0,11530,18201,13380,0,0,4.91,650000
2024-12-04,BR002,Nyanza,0,7662,21571,17869,0,1,5.22,650000
2024-12-05,BR002,Nyanza,8,7562,25905,23822,1,0,0.65,650000
2024-12-06,BR002,Nyanza,4,2631,24275,21241,5,0,3.62,650000
2024-12-07,BR002,Nyanza,2,4450,25969,19677,0,0,4.41,650000
2024-12-08,BR002,Nyanza,2,3611,23665,15547,2,1,3.23,650000
2024-12-09,BR002,Nyanza,2,1144,18829,18235,4,1,3.42,650000
2024-12-10,BR002,Nyanza,0,6500,24156,18095,2,0,4.12,650000
2024-12-11,BR002,Nyanza,2,4707,18535,12365,3,1,0.94,650000
2024-12-12,BR002,Nyanza,4,4771,19399,19649,1,1,5.56,650000
2024-12-13,BR002,Nyanza,2,2417,25841,18621,1,0,2.07,650000
2024-12-14,BR002,Nyanza,6,2940,21659,20458,2,0,4.36,650000
2024-12-15,BR002,Nyanza,6,4467,21832,19364,1,1,1.83,650000
2024-12-16,BR002,Nyanza,4,4022,21197,21216,3,0,3.42,650000
2024-12-17,BR002,Nyanza,2,4074,17760,13668,2,2,5.85,650000
2024-12-18,BR002,Nyanza,0,5157,17376,13068,3,1,3.58,650000
2024-12-19,BR002,Nyanza,6,3132,19299,14850,2,1,2.25,650000
2024-12-20,BR002,Nyanza,6,11100,20090,19749,2,0,4.88,650000
2024-12-21,BR002,Nyanza,6,4012,18136,16693,5,1,3.41,650000
2024-12-22,BR002,Nyanza,2,3248,18642,18242,2,3,4.99,650000
2024-12-23,BR002,Nyanza,2,9587,19357,15379,1,3,1.45,650000
2024-12-24,BR002,Nyanza,6,2217,21140,20521,1,0,5.08,650000
2024-12-25,BR002,Nyanza,6,1682,17615,13369,2,1,0.56,650000
2024-12-26,BR002,Nyanza,6,2268,21796,22429,1,1,5.44,650000
2024-12-27,BR002,Nyanza,4,0,19529,13409,2,1,3.93,650000
2024-12-28,BR002,Nyanza,4,3479,25342,20973,1,1,3.01,650000
2024-12-29,BR002,Nyanza,6,4691,23284,22423,1,1,1.06,650000
2024-12-30,BR002,Nyanza,4,4446,25081,19945,3,3,3.9,650000
2024-12-31,BR002,Nyanza,2,7191,24694,24629,5,0,0.82,650000
2025-01-01,BR002,Nyanza,4,1625,22090,17604,4,0,3.96,650000
2025-01-02,BR002,Nyanza,12,4128,21695,16151,1,2,4.74,650000
2025-01-03,BR002,Nyanza,2,3354,19392,13749,3,3,3.8,650000
2025-01-04,BR002,Nyanza,4,6385,18513,14820,5,1,5.31,650000
2025-01-05,BR002,Nyanza,2,2592,22806,16527,2,1,4.18,650000
2025-01-06,BR002,Nyanza,2,3947,21794,20336,4,0,4.72,650000
2025-01-07,BR002,Nyanza,10,5562,25736,24312,1,1,2.93,650000
2025-01-08,BR002,Nyanza,6,2708,19977,18985,1,0,1.75,650000
2025-01-09,BR002,Nyanza,0,9157,19043,14047,1,0,2.24,650000
2025-01-10,BR002,Nyanza,4,5803,23366,19342,3,2,2.3,650000
2025-01-11,BR002,Nyanza,2,5648,19586,15521,2,2,5.62,650000
2025-01-12,BR002,Nyanza,2,4771,25654,18670,0,2,1.69,650000
2025-01-13,BR002,Nyanza,0,2901,23512,20635,2,1,5.77,650000
2025-01-14,BR002,Nyanza,0,3920,19683,18289,1,0,1.14,650000
2025-01-15,BR002,Nyanza,8,5957,24670,19350,5,0,3.26,650000
2025-01-16,BR002,Nyanza,2,0,18122,16581,0,0,3.48,650000
2025-01-17,BR002,Nyanza,2,3055,25905,25223,1,0,1.92,650000
2025-01-18,BR002,Nyanza,2,2578,22994,23791,2,1,2.22,650000
2025-01-19,BR002,Nyanza,0,5221,21421,17050,2,0,5.6,650000
2025-01-20,BR002,Nyanza,6,1585,20326,20868,1,1,5.58,650000
2025-01-21,BR002,Nyanza,2,1070,20100,13892,1,0,1.65,650000
2025-01-22,BR002,Nyanza,2,6497,19875,19301,1,0,4.64,650000
2025-01-23,BR002,Nyanza,4,6848,18724,13731,2,1,2.07,650000
2025-01-24,BR002,Nyanza,2,5542,23813,21663,1,0,5.17,650000
2025-01-25,BR002,Nyanza,4,7008,25987,26854,3,0,4.37,650000
2025-01-26,BR002,Nyanza,0,8507,25426,24460,2,2,4.69,650000
2025-01-27,BR002,Nyanza,0,4588,23066,16019,2,1,2.8,650000
2025-01-28,BR002,Nyanza,4,1450,24624,22124,2,1,5.22,650000
2025-01-29,BR002,Nyanza,4,11728,23989,20501,2,0,3.92,650000
2025-01-30,BR002,Nyanza,2,1482,25336,16869,2,1,3.29,650000
2025-01-31,BR002,Nyanza,6,2996,17860,15377,1,2,3.7,650000
2025-02-01,BR002,Nyanza,0,8535,18713,17238,5,1,1.21,650000
2025-02-02,BR002,Nyanza,2,2477,19251,13439,3,1,5.55,650000
2025-02-03,BR002,Nyanza,6,5241,21040,13919,1,1,4.28,650000
2025-02-04,BR002,Nyanza,4,2128,22995,21591,1,1,3.66,650000
2025-02-05,BR002,Nyanza,6,10371,19953,18304,1,1,3.32,650000
2025-02-06,BR002,Nyanza,4,7894,19070,18380,0,2,2.83,650000
2025-02-07,BR002,Nyanza,2,2225,23850,18269,1,0,5.05,650000
2025-02-08,BR002,Nyanza,4,5642,21247,20356,2,1,2.79,650000
2025-02-09,BR002,Nyanza,0,3433,20975,17916,2,0,4.09,650000
2025-02-10,BR002,Nyanza,10,4642,21036,20952,1,0,2.15,650000
2025-02-11,BR002,Nyanza,2,2824,21481,17914,3,0,2.01,650000
2025-02-12,BR002,Nyanza,6,8588,17552,14149,3,1,3.71,650000
2025-02-13,BR002,Nyanza,4,4352,21223,20962,1,0,2.46,650000
2025-02-14,BR002,Nyanza,4,2940,22761,20731,5,2,5.89,650000
2025-02-15,BR002,Nyanza,2,4964,23462,18564,4,2,4.35,650000
2025-02-16,BR002,Nyanza,4,7542,25014,24858,3,2,2.02,650000
2025-02-17,BR002,Nyanza,6,10695,20426,19975,1,1,1.29,650000
2025-02-18,BR002,Nyanza,10,2062,25251,22734,3,2,2.32,650000
2025-02-19,BR002,Nyanza,2,6265,23399,19082,4,1,2.26,650000
2025-02-20,BR002,Nyanza,0,7400,24487,24288,3,3,5.67,650000
2025-02-21,BR002,Nyanza,2,3210,19460,12896,1,2,4.99,650000
2025-02-22,BR002,Nyanza,4,6497,24642,23370,0,3,2.66,650000
2025-02-23,BR002,Nyanza,2,8217,25179,18971,4,2,4.53,650000
2025-02-24,BR002,Nyanza,2,5542,21436,18560,2,1,2.12,650000
2025-02-25,BR002,Nyanza,6,8410,25308,21471,3,1,2.26,650000
2025-02-26,BR002,Nyanza,6,5104,21006,19272,0,1,3.07,650000
2025-02-27,BR002,Nyanza,2,3441,17533,11467,2,3,4.05,650000
2025-02-28,BR002,Nyanza,0,4350,18862,19612,0,3,4.44,650000
2025-03-01,BR002,Nyanza,6,812,18703,18673,0,0,1.68,650000
2025-03-02,BR002,Nyanza,2,1651,19268,19386,1,4,3.51,650000
2025-03-03,BR002,Nyanza,2,3354,24570,18304,0,2,3.84,650000
2025-03-04,BR002,Nyanza,2,2554,25999,24189,4,0,5.09,650000
2025-03-05,BR002,Nyanza,6,3457,20522,19300,3,0,3.79,650000
2025-03-06,BR002,Nyanza,2,6578,21410,21719,2,3,4.69,650000
2025-03-07,BR002,Nyanza,2,6675,22177,14962,3,0,2.19,650000
2025-03-08,BR002,Nyanza,8,5417,23509,22623,2,1,3.85,650000
2025-03-09,BR002,Nyanza,4,2747,20042,14228,4,3,5.17,650000
2025-03-10,BR002,Nyanza,6,4178,25318,21623,1,2,1.56,650000
2025-03-11,BR002,Nyanza,6,5883,19704,18724,2,3,5.51,650000
2025-03-12,BR002,Nyanza,4,2385,24243,23310,2,0,5.73,650000
2025-03-13,BR002,Nyanza,4,4835,25562,19285,2,0,1.1,650000
2025-03-14,BR002,Nyanza,4,4900,24698,19360,5,0,4.86,650000
2025-03-15,BR002,Nyanza,4,3971,18526,15056,5,3,3.51,650000
2025-03-16,BR002,Nyanza,4,7542,19346,16074,2,3,2.95,650000
2025-03-17,BR002,Nyanza,6,3055,18186,16870,3,1,4.95,650000
2025-03-18,BR002,Nyanza,4,3867,17415,13073,2,1,5.84,650000
2025-03-19,BR002,Nyanza,6,4699,19245,14972,2,2,5.86,650000
2025-03-20,BR002,Nyanza,2,6342,22334,19828,4,1,2.4,650000
2025-03-21,BR002,Nyanza,10,16050,25383,17956,3,1,3.35,650000
2025-03-22,BR002,Nyanza,4,4060,18815,17314,0,1,3.95,650000
2025-03-23,BR002,Nyanza,0,3287,20359,15817,2,1,4.5,650000
2025-03-24,BR002,Nyanza,4,7759,23041,15824,3,0,3.37,650000
2025-03-25,BR002,Nyanza,2,5046,22578,18754,4,1,2.54,650000
2025-03-26,BR002,Nyanza,4,6805,18573,13794,1,0,5.24,650000
2025-03-27,BR002,Nyanza,0,5162,20126,15281,1,1,2.45,650000
2025-03-28,BR002,Nyanza,4,5800,24132,18510,5,1,2.91,650000
2025-03-29,BR002,Nyanza,10,10555,21342,15009,0,2,5.19,650000
2025-03-30,BR002,Nyanza,10,3557,17419,18287,1,2,0.93,650000
2025-03-31,BR002,Nyanza,0,5393,22847,20755,2,1,1.14,650000
2025-04-01,BR002,Nyanza,2,5690,21107,13898,1,1,1.08,650000
2025-04-02,BR002,Nyanza,4,6192,20535,16731,4,1,5.73,650000
2025-04-03,BR002,Nyanza,4,2096,22839,19992,1,1,4.6,650000
2025-04-04,BR002,Nyanza,0,4257,24643,16036,1,1,3.44,650000
2025-04-05,BR002,Nyanza,0,6050,17442,14530,2,1,4.85,650000
2025-04-06,BR002,Nyanza,4,1754,20007,17304,0,1,1.13,650000
2025-04-07,BR002,Nyanza,0,6675,18357,17870,6,0,1.76,650000
2025-04-08,BR002,Nyanza,4,9028,24190,20431,2,0,3.23,650000
2025-04-09,BR002,Nyanza,0,6867,24705,25226,2,2,2.86,650000
2025-04-10,BR002,Nyanza,2,2785,19702,19142,0,1,2.46,650000
2025-04-11,BR002,Nyanza,2,4236,20225,15293,0,1,1.37,650000
2025-04-12,BR002,Nyanza,2,4771,22227,18566,2,3,1.37,650000
2025-04-13,BR002,Nyanza,0,2417,19933,18571,2,2,4.85,650000
2025-04-14,BR002,Nyanza,6,2940,24341,18795,3,1,1.51,650000
2025-04-15,BR002,Nyanza,4,6205,24722,19507,1,3,2.84,650000
2025-04-16,BR002,Nyanza,4,2514,20921,15265,2,3,5.89,650000
2025-04-17,BR002,Nyanza,2,4074,19373,14526,2,0,2.62,650000
2025-04-18,BR002,Nyanza,2,2062,21833,21025,2,1,2.42,650000
2025-04-19,BR002,Nyanza,0,10965,25098,18584,2,1,4.83,650000
2025-04-20,BR002,Nyanza,6,3964,25680,18584,1,1,1.63,650000
2025-04-21,BR002,Nyanza,6,6419,20452,16117,0,0,1.91,650000
2025-04-22,BR002,Nyanza,4,9745,24620,16656,4,1,0.96,650000
2025-04-23,BR002,Nyanza,2,3287,19444,15581,1,2,2.2,650000
