officer_id,branch_id,month,loans_handled,approvals,arrears_recovered_ksh,fraud_hits
OF000011,BR002,2024-08,8,7,387166.14,0
OF000011,BR002,2024-09,8,6,350594.88,0
OF000011,BR002,2024-10,11,10,203619.87,0
OF000011,BR002,2024-11,10,9,152335.7,0
OF000011,BR002,2024-12,8,6,413798.9,0
OF000012,BR002,2024-01,10,9,434671.87,0
OF000012,BR002,2024-02,8,7,351502.85,0
OF000012,BR002,2024-03,10,8,311802.29,0
OF000012,BR002,2024-04,6,5,308868.93,0
OF000012,BR002,2024-05,10,9,473944.31,0
OF000012,BR002,2024-06,10,8,295627.49,2
OF000012,BR002,2024-07,9,8,342640.37,0
OF000012,BR002,2024-08,10,8,460713.77,1
OF000012,BR002,2024-09,8,7,497553.18,0
OF000012,BR002,2024-10,6,5,369389.39,0
OF000012,BR002,2024-11,10,9,165241.35,0
OF000012,BR002,2024-12,6,5,199448.44,0
OF000013,BR003,2024-01,8,6,233134.79,0
OF000013,BR003,2024-02,12,11,344197.52,0
OF000013,BR003,2024-03,10,9,405819.57,0
OF000013,BR003,2024-04,9,7,447894.15,0
OF000013,BR003,2024-05,10,9,428630.89,0
OF000013,BR003,2024-06,12,11,454075.39,0
OF000013,BR003,2024-07,13,11,378470.17,1
OF000013,BR003,2024-08,9,7,137698.43,0
OF000013,BR003,2024-09,11,9,213732.95,0
OF000013,BR003,2024-10,9,8,150380.28,0
OF000013,BR003,2024-11,9,7,499026.98,0
OF000013,BR003,2024-12,12,10,325973.56,0
OF000014,BR003,2024-01,10,8,342624.82,0
OF000014,BR003,2024-02,13,12,82756.83,0
OF000014,BR003,2024-03,11,10,327011.17,0
OF000014,BR003,2024-04,12,11,301350.72,0
OF000014,BR003,2024-05,10,8,337819.81,0
OF000014,BR003,2024-06,9,8,117870.99,0
OF000014,BR003,2024-07,8,7,131584.26,0
OF000014,BR003,2024-08,14,13,370562.3,0
OF000014,BR003,2024-09,12,10,184190.45,0
OF000014,BR003,2024-10,9,7,58127.54,0
OF000014,BR003,2024-11,11,10,256882.18,0
OF000014,BR003,2024-12,9,7,131413.72,0
OF000015,BR003,2024-01,7,6,167822.38,0
OF000015,BR003,2024-02,8,7,141465.6,0
OF000015,BR003,2024-03,10,9,445222.05,0
OF000015,BR003,2024-04,11,10,424337.88,0
OF000015,BR003,2024-05,8,7,339127.88,0
OF000015,BR003,2024-06,11,10,134644.9,0
OF000015,BR003,2024-07,7,6,61971.22,0
OF000015,BR003,2024-08,7,6,362339.78,0
OF000015,BR003,2024-09,7,6,386412.69,0
OF000015,BR003,2024-10,8,6,465416.63,0
OF000015,BR003,2024-11,11,10,287274.1,0
OF000015,BR003,2024-12,11,10,496006.54,2
OF000016,BR003,2024-01,9,8,271790.14,0
OF000016,BR003,2024-02,11,9,258860.02,0
OF000016,BR003,2024-03,13,11,386238.2,0
OF000016,BR003,2024-04,12,10,105434.02,0
OF000016,BR003,2024-05,13,11,79516.18,0
OF000016,BR003,2024-06,10,9,318161.51,0
OF000016,BR003,2024-07,10,9,399761.85,0
OF000016,BR003,2024-08,9,8,487583.34,0
OF000016,BR003,2024-09,10,8,337909.08,0
OF000016,BR003,2024-10,15,13,171533.53,0
OF000016,BR003,2024-11,11,9,482958.86,0
OF000016,BR003,2024-12,10,9,432647.22,0
OF000017,BR003,2024-01,12,11,490533.76,0
OF000017,BR003,2024-02,7,6,468493.49,1
OF000017,BR003,2024-03,10,9,84154.79,0
OF000017,BR003,2024-04,7,6,147134.66,0
OF000017,BR003,2024-05,7,6,411300.74,0
OF000017,BR003,2024-06,7,6,194621.42,0
OF000017,BR003,2024-07,10,9,338822.0,0
OF000017,BR003,2024-08,10,9,475998.82,0
OF000017,BR003,2024-09,8,7,357821.48,0
OF000017,BR003,2024-10,11,10,68951.93,0
OF000017,BR003,2024-11,11,10,68568.05,0
OF000017,BR003,2024-12,11,10,496772.88,1
OF000018,BR004,2024-01,13,12,106488.39,0
OF000018,BR004,2024-02,14,13,360885.12,0
OF000018,BR004,2024-03,10,9,111519.59,0
OF000018,BR004,2024-04,14,12,192248.58,0
OF000018,BR004,2024-05,15,12,149012.49,0
OF000018,BR004,2024-06,11,10,175575.52,0
OF000018,BR004,2024-07,13,12,296552.44,0
OF000018,BR004,2024-08,13,12,446343.38,0
OF000018,BR004,2024-09,14,12,194614.92,0
OF000018,BR004,2024-10,13,11,328465.69,0
OF000018,BR004,2024-11,15,14,199566.69,0
OF000018,BR004,2024-12,10,8,171884.82,0
OF000019,BR004,2024-01,12,11,427472.34,0
OF000019,BR004,2024-02,11,9,164044.09,0
OF000019,BR004,2024-03,8,7,418971.6,0
OF000019,BR004,2024-04,11,10,236846.98,0
OF000019,BR004,2024-05,10,9,496593.55,0
OF000019,BR004,2024-06,14,12,445704.13,0
OF000019,BR004,2024-07,13,12,374117.29,0
OF000019,BR004,2024-08,9,8,153913.02,0
OF000019,BR004,2024-09,15,14,103280.29,0
OF000019,BR004,2024-10,13,12,273778.64,0
OF000019,BR004,2024-11,12,11,255439.94,0
OF000019,BR004,2024-12,8,7,476022.68,0
OF000020,BR004,2024-01,10,9,114273.48,0
OF000020,BR004,2024-02,10,9,473976.51,0
OF000020,BR004,2024-03,11,10,260304.9,0
OF000020,BR004,2024-04,15,14,292913.27,0
OF000020,BR004,2024-05,10,8,52774.47,0
OF000020,BR004,2024-06,15,13,489121.41,2
OF000020,BR004,2024-07,10,8,103669.95,0
OF000020,BR004,2024-08,10,9,168206.13,0
OF000020,BR004,2024-09,12,11,300431.65,0
OF000020,BR004,2024-10,10,9,55223.4,1
OF000020,BR004,2024-11,9,8,97963.42,0
OF000020,BR004,2024-12,16,15,252242.6,0
OF000021,BR004,2024-01,15,13,384109.77,1
OF000021,BR004,2024-02,14,12,249150.3,0
OF000021,BR004,2024-03,12,11,74747.72,1
OF000021,BR004,2024-04,11,10,345142.48,0
OF000021,BR004,2024-05,14,13,87948.95,0
OF000021,BR004,2024-06,11,10,299229.57,0
OF000021,BR004,2024-07,12,10,272295.63,1
OF000021,BR004,2024-08,9,8,131529.13,0
OF000021,BR004,2024-09,12,10,104477.55,2
OF000021,BR004,2024-10,10,8,390795.71,0
OF000021,BR004,2024-11,9,8,156182.55,0
OF000021,BR004,2024-12,14,12,258213.25,0
OF000022,BR005,2024-01,3,2,370669.82,0
OF000022,BR005,2024-02,3,2,155007.39,0
OF000022,BR005,2024-03,4,3,373423.73,0
OF000022,BR005,2024-04,4,3,86476.45,0
OF000022,BR005,2024-05,4,3,453094.05,0
OF000022,BR005,2024-06,4,3,184625.19,0
OF000022,BR005,2024-07,5,4,241454.78,0
OF000022,BR005,2024-08,6,5,410578.78,1
OF000022,BR005,2024-09,4,3,428803.72,0
OF000022,BR005,2024-10,5,4,304248.28,0
OF000022,BR005,2024-11,3,2,320017.63,0
OF000022,BR005,2024-12,5,4,441963.57,0
OF000023,BR005,2024-01,5,4,122583.52,0
OF000023,BR005,2024-02,4,3,342812.88,0
OF000023,BR005,2024-03,4,3,463190.72,0
OF000023,BR005,2024-04,5,4,112283.09,0
OF000023,BR005,2024-05,4,3,183147.41,0
OF000023,BR005,2024-06,4,3,391012.22,0
OF000023,BR005,2024-07,3,2,129379.43,0
OF000023,BR005,2024-08,3,2,475638.01,0
OF000023,BR005,2024-09,4,3,257921.59,0
OF000023,BR005,2024-10,5,4,353704.88,0
OF000023,BR005,2024-11,3,2,53785.99,0
OF000023,BR005,2024-12,4,3,466670.64,0
OF000024,BR005,2024-01,5,4,382850.51,0
OF000024,BR005,2024-02,5,4,258019.59,0
OF000024,BR005,2024-03,4,3,330596.71,0
OF000024,BR005,2024-04,5,4,374214.0,0
OF000024,BR005,2024-05,5,4,157459.79,0
OF000024,BR005,2024-06,5,4,79866.19,0
OF000024,BR005,2024-07,4,3,473751.61,1
OF000024,BR005,2024-08,5,4,384979.42,0
OF000024,BR005,2024-09,3,2,389074.74,2
OF000024,BR005,2024-10,5,4,174196.8,0
OF000024,BR005,2024-11,5,4,241272.13,0
OF000024,BR005,2024-12,4,3,50631.6,0
OF000025,BR005,2024-01,5,4,165934.84,0
OF000025,BR005,2024-02,4,3,90307.5,0
OF000025,BR005,2024-03,4,3,291981.73,0
OF000025,BR005,2024-04,3,2,392652.42,0
OF000025,BR005,2024-05,4,3,385758.46,0
OF000025,BR005,2024-06,4,3,385969.33,1
OF000025,BR005,2024-07,5,4,306357.06,0
OF000025,BR005,2024-08,5,4,363834.48,0
OF000025,BR005,2024-09,4,3,165376.73,1
OF000025,BR005,2024-10,3,2,240331.68,0
OF000025,BR005,2024-11,3,2,407173.18,0
OF000025,BR005,2024-12,4,3,54988.96,0
OF000026,BR005,2024-01,4,3,362956.76,0
OF000026,BR005,2024-02,6,5,207515.23,0
OF000026,BR005,2024-03,4,3,223181.55,0
OF000026,BR005,2024-04,4,3,311640.66,0
OF000026,BR005,2024-05,3,2,58314.13,0
OF000026,BR005,2024-06,6,5,463059.77,0
OF000026,BR005,2024-07,4,3,252319.93,0
OF000026,BR005,2024-08,5,4,295767.23,0
OF000026,BR005,2024-09,4,3,328166.72,0
OF000026,BR005,2024-10,5,4,483380.13,1
OF000026,BR005,2024-11,3,2,376895.41,0
OF000026,BR005,2024-12,3,2,113072.81,0
OF000027,BR005,2024-01,3,2,154649.25,0
OF000027,BR005,2024-02,4,3,451066.73,1
OF000027,BR005,2024-03,5,4,112635.6,0
OF000027,BR005,2024-04,4,3,304043.62,1
OF000027,BR005,2024-05,3,2,342844.21,1
OF000027,BR005,2024-06,3,2,384222.66,0
OF000027,BR005,2024-07,5,4,120496.15,0
OF000027,BR005,2024-08,5,4,161208.34,0
OF000027,BR005,2024-09,3,2,453558.97,0
OF000027,BR005,2024-10,4,3,380291.69,0
OF000027,BR005,2024-11,5,4,114174.89,0
OF000027,BR005,2024-12,4,3,55302.73,0
OF000028,BR005,2024-01,3,2,202994.71,0
OF000028,BR005,2024-02,3,2,198208.97,2
OF000028,BR005,2024-03,3,2,256378.38,0
OF000028,BR005,2024-04,4,3,147111.26,0
OF000028,BR005,2024-05,3,2,108028.98,0
OF000028,BR005,2024-06,4,3,238004.43,0
OF000028,BR005,2024-07,2,1,358400.62,0
OF000028,BR005,2024-08,2,1,135660.04,0
OF000028,BR005,2024-09,3,2,390257.91,0
OF000028,BR005,2024-10,3,2,202542.43,0
OF000028,BR005,2024-11,4,3,397012.4,0
OF000028,BR005,2024-12,3,2,132568.0,0
OF000029,BR005,2024-01,3,2,194831.98,0
OF000029,BR005,2024-02,2,1,226268.26,0
OF000029,BR005,2024-03,2,1,53005.01,0
OF000029,BR005,2024-04,3,2,87360.36,0
OF000029,BR005,2024-05,3,2,304369.12,0
OF000029,BR005,2024-06,3,2,108546.52,0
OF000029,BR005,2024-07,3,2,445914.02,0
OF000029,BR005,2024-08,3,2,144960.78,0
OF000029,BR005,2024-09,3,2,472971.67,0
OF000029,BR005,2024-10,4,3,119768.75,0
OF000029,BR005,2024-11,4,3,246464.75,0
OF000029,BR005,2024-12,3,2,93619.0,0
OF000030,BR005,2024-01,4,3,461922.89,0
OF000030,BR005,2024-02,4,3,178352.77,0
OF000030,BR005,2024-03,3,2,321352.94,0
OF000030,BR005,2024-04,4,3,447239.36,0
OF000030,BR005,2024-05,3,2,132405.62,0
OF000030,BR005,2024-06,3,2,294862.55,0
OF000030,BR005,2024-07,3,2,444937.81,0
OF000030,BR005,2024-08,4,3,272832.06,0
OF000030,BR005,2024-09,5,4,272230.84,0
OF000030,BR005,2024-10,3,2,160809.58,0
OF000030,BR005,2024-11,5,4,326201.82,0
OF000030,BR005,2024-12,3,2,361013.91,0
OF000031,BR005,2024-01,6,5,163425.03,1
OF000031,BR005,2024-02,4,3,156074.63,0
OF000031,BR005,2024-03,3,2,388934.89,0
OF000031,BR005,2024-04,4,3,298185.83,0
OF000031,BR005,2024-05,3,2,149131.0,1
OF000031,BR005,2024-06,5,4,116993.48,0
OF000031,BR005,2024-07,5,4,318169.9,0
OF000031,BR005,2024-08,4,3,242439.18,0
OF000031,BR005,2024-09,5,4,269718.07,0
OF000031,BR005,2024-10,6,5,273313.8,0
OF000031,BR005,2024-11,4,3,454612.15,0
OF000031,BR005,2024-12,5,4,209619.4,0
OF000032,BR005,2024-01,6,5,283658.72,0
OF000032,BR005,2024-02,5,4,123769.26,1
OF000032,BR005,2024-03,6,5,189017.91,0
OF000032,BR005,2024-04,6,5,498475.28,0
OF000032,BR005,2024-05,4,3,169215.76,0
OF000032,BR005,2024-06,4,3,400870.64,0
OF000032,BR005,2024-07,5,4,317441.48,0
OF000032,BR005,2024-08,6,5,102916.84,0
OF000032,BR005,2024-09,5,4,63279.41,0
OF000032,BR005,2024-10,5,4,212897.85,0
OF000032,BR005,2024-11,6,5,348920.58,0
OF000032,BR005,2024-12,5,4,401274.66,1
OF000033,BR006,2024-01,6,5,398473.31,0
OF000033,BR006,2024-02,9,7,338495.73,0
OF000033,BR006,2024-03,8,7,141232.3,0
OF000033,BR006,2024-04,8,7,219292.89,0
OF000033,BR006,2024-05,8,7,184268.56,0
OF000033,BR006,2024-06,7,6,476877.69,1
OF000033,BR006,2024-07,6,5,88625.9,0
OF000033,BR006,2024-08,9,7,324351.8,0
OF000033,BR006,2024-09,9,8,128080.2,0
OF000033,BR006,2024-10,8,7,497025.05,0
OF000033,BR006,2024-11,6,5,231677.12,0
OF000033,BR006,2024-12,6,5,409830.97,0
OF000034,BR006,2024-01,7,6,190061.12,0
OF000034,BR006,2024-02,8,7,261522.38,0
OF000034,BR006,2024-03,9,7,314002.19,0
OF000034,BR006,2024-04,11,10,149488.12,0
OF000034,BR006,2024-05,6,5,238470.01,0
OF000034,BR006,2024-06,10,9,478423.66,0
OF000034,BR006,2024-07,8,7,331873.72,0
OF000034,BR006,2024-08,8,7,288516.98,0
OF000034,BR006,2024-09,8,7,191984.23,0
OF000034,BR006,2024-10,9,8,426937.03,0
OF000034,BR006,2024-11,9,7,253390.65,0
OF000034,BR006,2024-12,6,5,230497.74,0
OF000035,BR006,2024-01,5,4,398976.27,0
OF000035,BR006,2024-02,8,7,336657.87,1
OF000035,BR006,2024-03,8,7,359002.12,1
OF000035,BR006,2024-04,9,8,268568.35,0
OF000035,BR006,2024-05,6,5,229424.01,0
OF000035,BR006,2024-06,7,6,400265.0,0
OF000035,BR006,2024-07,5,4,415574.65,0
OF000035,BR006,2024-08,6,5,81226.66,0
OF000035,BR006,2024-09,8,6,464288.84,0
OF000035,BR006,2024-10,5,4,374623.61,0
OF000035,BR006,2024-11,8,7,54018.49,0
OF000035,BR006,2024-12,6,5,84326.91,0
OF000036,BR006,2024-01,9,8,483720.85,0
OF000036,BR006,2024-02,10,9,232605.76,0
OF000036,BR006,2024-03,11,9,334310.19,0
OF000036,BR006,2024-04,8,7,397975.73,0
OF000036,BR006,2024-05,7,6,486307.65,0
OF000036,BR006,2024-06,8,7,413601.39,0
OF000036,BR006,2024-07,8,7,216429.4,0
OF000036,BR006,2024-08,9,8,493000.26,0
OF000036,BR006,2024-09,7,6,334082.73,0
OF000036,BR006,2024-10,10,8,457917.47,0
OF000036,BR006,2024-11,11,10,182837.66,0
OF000036,BR006,2024-12,10,9,395693.45,0
OF000037,BR006,2024-01,9,8,163878.71,0
OF000037,BR006,2024-02,9,8,320649.87,1
OF000037,BR006,2024-03,8,7,77197.7,0
OF000037,BR006,2024-04,8,7,375170.44,0
OF000037,BR006,2024-05,6,5,426328.09,0
OF000037,BR006,2024-06,7,6,252648.58,0
OF000037,BR006,2024-07,8,7,304268.29,0
OF000037,BR006,2024-08,5,4,496542.64,0
OF000037,BR006,2024-09,8,6,182963.38,0
OF000037,BR006,2024-10,8,7,296032.43,0
OF000037,BR006,2024-11,8,7,455019.62,0
OF000037,BR006,2024-12,7,6,430479.03,0
OF000038,BR006,2024-01,7,6,473421.16,0
OF000038,BR006,2024-02,10,9,200521.73,0
OF000038,BR006,2024-03,11,9,143739.33,0
OF000038,BR006,2024-04,6,5,251765.38,0
OF000038,BR006,2024-05,6,5,232311.22,0
OF000038,BR006,2024-06,6,5,371440.41,0
OF000038,BR006,2024-07,10,9,468083.48,1
OF000038,BR006,2024-08,8,7,62553.11,0
OF000038,BR006,2024-09,7,6,341629.83,0
OF000038,BR006,2024-10,9,8,459495.44,0
OF000038,BR006,2024-11,8,6,50039.44,0
OF000038,BR006,2024-12,6,5,106851.64,1
OF000039,BR006,2024-01,7,6,179776.63,0
OF000039,BR006,2024-02,9,8,287100.65,0
OF000039,BR006,2024-03,10,8,407764.81,0
OF000039,BR006,2024-04,8,7,447454.47,0
OF000039,BR006,2024-05,10,9,423434.82,0
OF000039,BR006,2024-06,9,8,456146.42,0
OF000039,BR006,2024-07,10,9,430152.43,0
OF000039,BR006,2024-08,6,5,403752.46,0
OF000039,BR006,2024-09,9,8,456468.28,0
OF000039,BR006,2024-10,9,8,79273.47,0
OF000039,BR006,2024-11,9,8,192975.78,0
OF000039,BR006,2024-12,11,9,498576.0,0
OF000040,BR007,2024-01,3,2,403267.42,0
OF000040,BR007,2024-02,4,3,269915.39,0
OF000040,BR007,2024-03,4,3,387870.75,1
OF000040,BR007,2024-04,4,3,76409.56,0
OF000040,BR007,2024-05,4,3,151332.06,0
OF000040,BR007,2024-06,4,3,405111.56,0
OF000040,BR007,2024-07,3,2,331439.92,0
OF000040,BR007,2024-08,4,3,128470.12,0
OF000040,BR007,2024-09,4,3,158978.2,0
OF000040,BR007,2024-10,4,3,321372.33,2
OF000040,BR007,2024-11,3,2,106073.91,0
OF000040,BR007,2024-12,4,3,437984.18,0
OF000041,BR007,2024-01,4,3,171404.31,0
OF000041,BR007,2024-02,4,3,375932.9,0
OF000041,BR007,2024-03,4,3,365647.66,0
OF000041,BR007,2024-04,5,4,147097.85,0
OF000041,BR007,2024-05,3,2,330737.17,0
OF000041,BR007,2024-06,3,2,375731.4,0
OF000041,BR007,2024-07,4,3,50261.29,0
OF000041,BR007,2024-08,5,4,455948.61,0
OF000041,BR007,2024-09,5,4,59202.7,0
OF000041,BR007,2024-10,3,2,434581.4,0
OF000041,BR007,2024-11,4,3,102572.77,0
OF000041,BR007,2024-12,5,4,91434.82,2
OF000042,BR007,2024-01,4,3,366486.41,0
OF000042,BR007,2024-02,3,2,154011.13,0
OF000042,BR007,2024-03,3,2,341383.03,1
OF000042,BR007,2024-04,3,2,352482.52,0
OF000042,BR007,2024-05,5,4,398129.35,0
OF000042,BR007,2024-06,4,3,471002.02,0
OF000042,BR007,2024-07,3,2,350260.31,1
OF000042,BR007,2024-08,4,3,346533.42,0
OF000042,BR007,2024-09,3,2,392470.19,0
OF000042,BR007,2024-10,4,3,392187.53,0
OF000042,BR007,2024-11,5,4,90617.85,0
OF000042,BR007,2024-12,5,4,314378.89,0
OF000043,BR007,2024-01,4,3,298183.76,0
OF000043,BR007,2024-02,3,2,222322.28,0
OF000043,BR007,2024-03,4,3,283198.32,0
OF000043,BR007,2024-04,4,3,332087.34,0
OF000043,BR007,2024-05,4,3,436950.89,0
OF000043,BR007,2024-06,2,1,186284.13,0
OF000043,BR007,2024-07,4,3,256675.3,0
OF000043,BR007,2024-08,5,4,339578.58,0
OF000043,BR007,2024-09,3,2,102421.65,0
OF000043,BR007,2024-10,3,2,344883.55,0
OF000043,BR007,2024-11,5,4,139302.61,0
OF000043,BR007,2024-12,4,3,491240.31,0
OF000044,BR007,2024-01,3,2,342780.0,0
OF000044,BR007,2024-02,5,4,350938.83,0
OF000044,BR007,2024-03,4,3,72202.65,0
OF000044,BR007,2024-04,3,2,306255.89,0
OF000044,BR007,2024-05,5,4,151000.3,0
OF000044,BR007,2024-06,3,2,323197.67,1
OF000044,BR007,2024-07,5,4,429816.8,1
OF000044,BR007,2024-08,5,4,447182.26,1
OF000044,BR007,2024-09,5,4,60571.91,1
OF000044,BR007,2024-10,5,4,129099.08,0
OF000044,BR007,2024-11,4,3,493091.05,0
OF000044,BR007,2024-12,5,4,279720.33,0
OF000045,BR007,2024-01,4,3,265490.06,1
OF000045,BR007,2024-02,3,2,220361.79,0
OF000045,BR007,2024-03,4,3,275991.3,0
OF000045,BR007,2024-04,3,2,106274.15,0
OF000045,BR007,2024-05,4,3,148207.95,0
OF000045,BR007,2024-06,4,3,361032.1,2
OF000045,BR007,2024-07,3,2,363729.16,0
OF000045,BR007,2024-08,5,4,96469.79,1
OF000045,BR007,2024-09,5,4,186725.07,0
OF000045,BR007,2024-10,3,2,252462.36,0
OF000045,BR007,2024-11,5,4,87884.24,0
OF000045,BR007,2024-12,3,2,181756.13,0
OF000046,BR007,2024-01,5,4,98156.76,0
OF000046,BR007,2024-02,4,3,61848.34,0
OF000046,BR007,2024-03,4,3,361495.99,0
OF000046,BR007,2024-04,6,5,227519.58,1
OF000046,BR007,2024-05,5,4,159193.22,1
OF000046,BR007,2024-06,4,3,284588.02,0
OF000046,BR007,2024-07,5,4,453729.72,0
OF000046,BR007,2024-08,4,3,273631.94,2
OF000046,BR007,2024-09,5,4,450885.69,0
OF000046,BR007,2024-10,4,3,402706.75,0
OF000046,BR007,2024-11,6,5,304255.39,0
OF000046,BR007,2024-12,5,4,210063.3,0
OF000047,BR007,2024-01,6,5,124660.72,0
OF000047,BR007,2024-02,6,5,144500.08,0
OF000047,BR007,2024-03,3,2,208782.72,0
OF000047,BR007,2024-04,5,4,245542.93,0
