customer_id,primary_branch,avg_weekly_cash,historical_cycles,risk_score_0_100,default_prob,churn_prob,recommended_limit_ksh
C0041995,BR044,9006,5,53.28,0.071,0.394,29519
C0029032,BR007,10786,3,35.99,0.05,0.581,35144
C0015555,BR046,3373,5,14.52,0.387,0.28,12646
C0002513,BR015,10214,1,15.72,0.56,0.263,35038
C0043818,BR082,19783,3,11.17,0.542,0.149,60000
C0010921,BR024,3982,2,14.01,0.322,0.676,17987
C0012468,BR047,19687,4,21.63,0.024,0.268,60000
C0042944,BR096,16628,2,34.66,0.166,0.492,60000
C0010035,BR073,17992,3,62.14,0.087,0.491,60000
C0023860,BR063,15936,6,9.79,0.419,0.693,49861
C0044086,BR081,13673,3,41.71,0.287,0.578,53003
C0026819,BR050,9942,1,7.27,0.118,0.737,32285
C0030761,BR067,5335,2,35.35,0.286,0.068,15797
C0057131,BR016,8978,3,26.16,0.411,0.439,43155
C0040811,BR098,4365,4,31.2,0.617,0.513,15032
C0009593,BR021,10836,2,40.61,0.004,0.037,23672
C0036564,BR093,11227,4,8.33,0.473,0.047,46806
C0025195,BR099,9721,5,27.25,0.216,0.685,45668
C0042524,BR063,12670,1,61.92,0.142,0.155,47846
C0046100,BR099,10732,4,33.43,0.087,0.138,35146
C0025774,BR057,12320,3,7.12,0.242,0.356,40887
C0029735,BR001,8953,4,44.61,0.466,0.212,39794
C0033835,BR047,18382,4,35.61,0.274,0.458,44365
C0029728,BR068,10524,5,9.37,0.14,0.618,47084
C0041729,BR080,15877,2,33.45,0.087,0.593,60000
C0055474,BR008,2668,1,34.23,0.33,0.27,12212
C0032507,BR090,19965,2,15.86,0.1,0.507,60000
C0000950,BR020,18060,3,20.53,0.528,0.114,39071
C0023048,BR003,3608,2,22.54,0.138,0.173,12083
C0053134,BR017,6728,3,25.78,0.055,0.275,33544
C0015998,BR051,10950,5,52.36,0.164,0.302,42867
C0039744,BR007,13644,1,33.26,0.077,0.268,53379
C0014901,BR038,6523,6,21.03,0.151,0.31,31952
C0058638,BR010,10816,4,21.6,0.202,0.191,36096
C0046992,BR054,9588,3,10.98,0.071,0.238,43442
C0023303,BR070,6305,4,23.61,0.314,0.168,19983
C0020999,BR044,17772,1,16.71,0.068,0.298,60000
C0012429,BR024,13452,3,9.41,0.129,0.196,48688
C0031328,BR053,6548,2,12.33,0.229,0.562,30529
C0002432,BR077,12885,2,12.46,0.021,0.645,28244
C0029186,BR020,6208,3,15.58,0.175,0.183,21489
C0024797,BR030,2236,1,22.92,0.164,0.423,6658
C0022279,BR011,2442,2,42.07,0.113,0.225,5613
C0038396,BR055,18506,6,21.92,0.333,0.317,60000
C0005652,BR040,4920,4,11.08,0.094,0.269,17825
C0031218,BR049,7579,4,45.78,0.225,0.457,32360
C0044394,BR028,10104,3,24.04,0.341,0.356,28020
C0034007,BR047,8434,2,43.34,0.138,0.252,34970
C0012700,BR082,16248,1,28.85,0.003,0.019,60000
C0005075,BR045,4687,2,21.7,0.278,0.264,18872
C0032854,BR072,14166,1,29.97,0.281,0.337,47921
C0012899,BR054,10867,2,50.93,0.285,0.655,51716
C0011633,BR070,2952,4,30.05,0.119,0.164,7216
C0027074,BR009,17153,1,43.63,0.041,0.166,37931
C0025637,BR051,5786,5,31.02,0.161,0.476,26192
C0002468,BR052,7579,1,9.95,0.282,0.523,17083
C0001464,BR086,3671,3,37.4,0.036,0.749,9969
C0056885,BR046,2608,3,9.15,0.265,0.495,6515
C0052623,BR001,11327,2,28.22,0.037,0.428,44902
C0022550,BR096,11089,4,19.72,0.171,0.366,52284
C0032232,BR063,16301,3,28.83,0.159,0.389,42301
C0019388,BR018,17709,1,22.24,0.022,0.63,42074
C0028619,BR025,5543,3,11.45,0.167,0.295,21406
C0044519,BR099,6123,3,60.37,0.105,0.075,13501
C0027454,BR016,16690,1,14.96,0.313,0.36,60000
C0006940,BR019,1673,2,18.66,0.023,0.391,6279
C0004712,BR061,7418,0,19.59,0.42,0.28,22336
C0007355,BR018,2038,2,44.0,0.345,0.174,9199
C0026333,BR048,5577,4,8.97,0.246,0.53,15382
C0034877,BR082,2733,5,11.22,0.1,0.254,12478
C0008920,BR068,19506,7,44.6,0.303,0.35,60000
C0008686,BR092,11643,3,15.58,0.153,0.289,54587
C0029224,BR055,5790,1,52.45,0.149,0.42,19139
C0026999,BR012,13831,1,30.76,0.119,0.325,48000
C0028593,BR027,8912,4,7.3,0.023,0.134,25274
C0055626,BR074,8215,4,17.84,0.13,0.439,20961
C0018164,BR012,14687,0,12.82,0.021,0.488,37706
C0035962,BR051,3506,2,28.46,0.07,0.505,10066
C0008890,BR078,4509,3,36.5,0.476,0.189,20415
C0022084,BR067,5607,4,15.01,0.275,0.177,16969
C0050663,BR046,17279,5,36.01,0.113,0.176,60000
C0057273,BR030,2182,2,17.72,0.084,0.134,5000
C0008553,BR016,2779,2,23.28,0.169,0.262,7317
C0012655,BR011,3824,6,26.33,0.071,0.301,12251
C0029875,BR053,13560,0,9.9,0.273,0.062,60000
C0036691,BR050,19567,6,27.41,0.036,0.425,48906
C0021442,BR063,2393,3,28.61,0.212,0.098,8016
C0015315,BR088,14504,2,2.64,0.339,0.479,36635
C0031920,BR086,11559,3,15.91,0.128,0.242,42346
C0012323,BR035,11263,5,41.17,0.156,0.6,26070
C0058977,BR046,10007,3,5.59,0.319,0.444,42720
C0001233,BR059,14216,2,19.25,0.314,0.232,29872
C0000057,BR012,2464,2,8.68,0.347,0.348,5422
C0035649,BR058,2882,1,70.82,0.178,0.543,10412
C0050343,BR040,10888,2,23.81,0.102,0.12,33351
C0042340,BR051,5155,5,11.92,0.1,0.447,12036
C0023920,BR001,14031,2,17.63,0.484,0.102,50385
C0047652,BR042,12198,5,15.2,0.06,0.654,44789
C0000699,BR042,13467,1,26.12,0.183,0.452,39347
C0001900,BR030,14264,6,18.44,0.003,0.199,44779
C0026216,BR075,15812,3,23.46,0.352,0.327,45384
C0055568,BR016,4804,1,36.17,0.158,0.001,12374
C0001176,BR050,5002,6,65.51,0.266,0.403,15720
C0032207,BR095,14238,1,15.28,0.239,0.068,45525
C0054926,BR073,3885,3,16.01,0.021,0.367,18523
C0000819,BR086,4317,6,16.46,0.297,0.442,18449
C0041719,BR047,1746,2,61.01,0.375,0.229,5453
C0010210,BR001,10184,1,28.22,0.093,0.519,27627
C0024736,BR050,4621,2,19.12,0.129,0.459,9279
C0029034,BR092,9724,2,13.85,0.178,0.228,40542
C0020297,BR002,4028,1,32.35,0.108,0.267,19915
C0045545,BR009,5335,5,38.05,0.063,0.392,17466
C0002598,BR013,6564,1,11.59,0.179,0.502,25404
C0001465,BR083,1556,2,20.58,0.181,0.679,5000
C0007576,BR038,3795,4,42.82,0.115,0.282,12261
C0046139,BR013,8624,6,33.97,0.429,0.312,23173
C0035200,BR077,17405,3,31.07,0.353,0.281,60000
C0055237,BR049,12193,3,50.99,0.246,0.657,57564
C0055983,BR015,14996,3,33.61,0.048,0.3,36438
C0003310,BR051,6420,1,44.26,0.202,0.331,21104
C0018270,BR081,15402,3,34.58,0.104,0.486,37358
C0033939,BR059,4924,2,5.07,0.095,0.254,19552
C0049648,BR060,4547,5,21.9,0.38,0.481,11766
C0045186,BR061,7649,2,11.73,0.246,0.061,36983
C0008554,BR013,5206,4,20.05,0.122,0.369,18820
C0052988,BR030,18977,3,22.68,0.115,0.35,60000
C0045991,BR066,7402,3,35.73,0.326,0.269,16454
C0018155,BR086,3462,4,22.09,0.203,0.224,10657
C0053742,BR039,4134,4,54.25,0.225,0.122,18320
C0055349,BR032,18521,3,63.46,0.005,0.171,60000
C0009574,BR075,15583,5,22.35,0.068,0.406,35055
C0045739,BR042,19709,5,23.69,0.363,0.151,51609
C0004827,BR036,10468,3,40.53,0.179,0.482,51167
C0059344,BR018,11237,3,54.12,0.084,0.272,53674
C0051165,BR069,14225,0,11.55,0.218,0.748,60000
C0037408,BR022,19055,1,40.8,0.129,0.378,60000
C0051491,BR022,16228,6,14.92,0.218,0.536,36781
C0002739,BR088,3282,0,34.53,0.568,0.337,10933
C0037579,BR032,16072,3,54.82,0.022,0.514,60000
C0000244,BR054,12992,4,48.22,0.015,0.333,33664
C0017910,BR096,11559,5,54.75,0.06,0.241,26987
C0027334,BR046,8145,8,3.96,0.247,0.734,21378
C0024153,BR037,11744,0,14.85,0.132,0.099,56718
C0003921,BR041,2658,5,21.79,0.071,0.261,12282
C0033644,BR043,17115,2,14.57,0.338,0.176,60000
C0005449,BR071,15706,4,48.96,0.173,0.068,48671
C0019003,BR029,19163,3,25.09,0.158,0.673,60000
C0044987,BR080,18124,4,25.29,0.013,0.275,60000
C0024203,BR098,5541,5,27.05,0.344,0.638,19703
C0044840,BR044,7045,3,56.43,0.318,0.184,16042
C0021681,BR006,10124,2,18.96,0.112,0.372,46096
C0040380,BR084,5968,5,28.72,0.256,0.199,26868
C0054695,BR037,16216,3,29.86,0.03,0.408,50214
C0037951,BR021,12202,2,79.32,0.157,0.496,54214
C0047685,BR062,7994,4,41.14,0.396,0.248,28037
C0003803,BR077,14814,3,38.41,0.133,0.134,35676
C0027862,BR061,5542,4,39.71,0.133,0.492,23372
C0045902,BR068,10521,2,15.87,0.162,0.297,30391
C0013956,BR077,4432,8,52.93,0.169,0.207,18674
C0038748,BR097,19305,1,22.98,0.219,0.631,43892
C0018463,BR064,12650,0,25.07,0.013,0.215,31958
C0037657,BR033,18991,2,44.38,0.069,0.586,45785
C0045875,BR015,3304,2,9.4,0.144,0.749,10982
C0005992,BR084,14619,2,3.46,0.117,0.078,58788
C0048223,BR053,5420,2,30.47,0.275,0.4,23015
C0018123,BR043,3080,3,14.55,0.189,0.415,6544
C0052870,BR085,18515,5,12.83,0.038,0.494,60000
C0034660,BR027,19230,2,9.38,0.081,0.36,60000
C0012851,BR021,17442,4,41.56,0.413,0.388,47256
C0026386,BR039,6222,2,30.92,0.425,0.307,17858
C0047366,BR068,16363,6,11.61,0.239,0.21,33030
C0001863,BR001,15648,3,6.06,0.294,0.357,47184
C0049190,BR048,6306,2,49.83,0.232,0.107,22921
C0024281,BR030,14447,4,19.77,0.187,0.081,60000
C0042175,BR037,11044,2,49.07,0.1,0.547,55021
C0040639,BR023,17979,0,11.33,0.125,0.689,60000
C0054315,BR056,6834,3,31.45,0.244,0.142,28363
C0057235,BR009,10434,5,38.65,0.033,0.066,36216
C0020254,BR036,19320,3,53.0,0.068,0.585,57780
C0046345,BR036,19897,4,28.43,0.034,0.343,60000
C0026431,BR046,16399,5,25.33,0.036,0.6,42516
C0048995,BR083,6444,2,37.04,0.057,0.659,19721
C0003330,BR053,4134,3,37.56,0.126,0.613,20412
C0049992,BR035,17137,4,59.87,0.078,0.292,60000
C0019695,BR028,1976,3,16.0,0.148,0.243,9513
C0050087,BR010,13491,4,14.68,0.047,0.446,54201
C0034696,BR081,6660,3,27.06,0.433,0.304,31061
C0006435,BR031,9266,3,29.9,0.458,0.659,27435
C0049746,BR017,5567,5,76.87,0.068,0.375,17477
C0049523,BR083,18107,4,22.34,0.565,0.261,37645
C0034262,BR063,1742,2,23.01,0.135,0.133,6488
C0015952,BR019,13687,3,22.91,0.007,0.293,34494
C0031642,BR080,13855,2,31.56,0.004,0.61,59581
C0030705,BR045,7067,1,14.92,0.094,0.2,24273
C0052645,BR009,15433,3,11.69,0.122,0.41,54472
C0012272,BR014,19008,2,7.84,0.024,0.178,44575
C0043575,BR093,16580,8,36.29,0.059,0.791,59556
C0015385,BR068,3667,1,34.79,0.325,0.477,8424
C0030918,BR048,11613,7,12.98,0.339,0.394,56894
C0038073,BR066,2696,1,27.05,0.296,0.42,9386
C0011060,BR060,8038,4,16.27,0.07,0.127,26079
C0000535,BR017,6402,1,14.91,0.275,0.548,23684
C0059256,BR089,2941,2,8.93,0.065,0.138,7973
C0056778,BR085,5582,5,9.65,0.519,0.295,18471
C0059886,BR086,6465,2,51.9,0.281,0.357,21902
C0032154,BR096,7238,2,53.15,0.349,0.84,30991
C0014150,BR090,19572,6,23.92,0.404,0.522,60000
C0059597,BR021,2168,4,41.61,0.09,0.404,5000
C0030026,BR090,16267,1,54.21,0.072,0.315,38787
C0037889,BR031,19919,3,10.57,0.125,0.398,60000
C0010460,BR092,3006,5,50.48,0.379,0.074,6201
C0019482,BR020,9033,3,49.66,0.108,0.679,23430
C0006998,BR064,12490,3,24.96,0.203,0.161,29384
C0052652,BR050,15448,5,4.6,0.16,0.295,60000
C0011778,BR001,7214,3,7.35,0.195,0.169,16688
C0040853,BR025,16246,4,8.51,0.067,0.531,37623
C0008053,BR038,19741,4,8.17,0.427,0.371,60000
C0016622,BR014,15657,1,31.55,0.116,0.684,56224
C0057535,BR058,2144,5,12.69,0.454,0.806,5175
C0005570,BR032,8278,3,25.15,0.156,0.313,26515
C0032725,BR066,12417,5,10.61,0.232,0.477,34510
C0015702,BR024,18043,4,60.29,0.184,0.206,60000
C0041895,BR017,5237,3,47.75,0.045,0.295,14533
C0025620,BR100,11143,3,36.54,0.33,0.178,27382
C0028817,BR015,15120,3,9.93,0.094,0.388,60000
C0021987,BR098,13091,3,32.13,0.264,0.416,42678
C0052650,BR001,6437,3,28.48,0.148,0.402,14231
C0024752,BR042,17056,1,36.3,0.282,0.696,56580
C0031624,BR011,10111,4,59.86,0.283,0.139,31608
C0021002,BR050,6996,4,34.59,0.237,0.417,23114
C0043678,BR014,3803,8,6.55,0.256,0.126,16502
C0010184,BR068,8159,3,37.13,0.168,0.442,39953
C0042464,BR059,9179,1,67.81,0.285,0.362,26671
C0052114,BR075,19652,1,35.89,0.437,0.123,60000
C0016221,BR078,4324,4,17.69,0.036,0.472,11007
C0059789,BR091,18391,4,30.07,0.282,0.233,47688
C0001489,BR065,17735,5,24.65,0.307,0.322,46862
C0012205,BR009,19787,1,34.12,0.059,0.523,60000
C0002303,BR090,11901,6,9.27,0.242,0.044,53041
C0034391,BR057,4622,2,14.39,0.672,0.5,20988
C0021867,BR044,18620,3,3.75,0.096,0.245,60000
C0011128,BR058,12177,3,8.57,0.073,0.123,58587
C0042548,BR054,2237,1,22.79,0.092,0.216,5000
C0058006,BR027,5728,1,3.33,0.118,0.854,22465
C0042772,BR073,17751,3,11.01,0.07,0.185,53530
C0037428,BR017,2759,2,14.85,0.003,0.337,9094
C0042768,BR035,7669,6,20.53,0.165,0.129,20880
C0033594,BR010,18732,4,53.81,0.237,0.327,46567
C0025893,BR035,5871,1,55.66,0.054,0.159,26853
C0007662,BR008,7043,3,16.94,0.084,0.423,27832
C0018388,BR010,15113,4,27.72,0.103,0.444,38212
C0041074,BR084,8816,7,42.73,0.144,0.291,27524
C0056033,BR083,18256,2,45.36,0.251,0.374,39696
C0049607,BR092,10894,2,65.41,0.133,0.346,50652
C0035363,BR095,3339,6,33.88,0.068,0.108,16002
C0032542,BR045,3851,4,40.63,0.211,0.433,19222
C0009673,BR091,3164,1,32.73,0.258,0.537,9101
C0034327,BR046,14073,1,31.38,0.306,0.572,57707
C0048372,BR016,3690,4,9.49,0.158,0.312,17351
C0011120,BR022,6671,5,61.01,0.39,0.33,13821
C0016789,BR031,5534,0,45.73,0.133,0.308,17570
C0015120,BR093,19848,3,4.8,0.197,0.153,57997
C0051941,BR020,11947,3,12.49,0.063,0.135,44988
C0026555,BR088,6644,2,19.12,0.329,0.126,31026
C0007891,BR030,14838,2,25.44,0.242,0.276,33876
C0024675,BR071,3865,2,32.31,0.344,0.086,8883
C0010507,BR057,13937,4,53.99,0.023,0.433,60000
C0011393,BR050,15806,4,26.11,0.373,0.211,60000
C0003494,BR093,12455,4,10.02,0.409,0.395,57791
C0010705,BR068,11269,0,20.03,0.28,0.462,26396
C0009835,BR035,3885,3,59.67,0.097,0.263,16996
C0005758,BR039,2943,4,28.2,0.128,0.553,12102
C0020830,BR017,14546,3,32.05,0.057,0.229,37862
C0006406,BR029,7840,3,60.52,0.209,0.261,31598
C0007181,BR066,6107,4,62.87,0.054,0.447,12927
C0005980,BR001,12459,4,56.87,0.155,0.523,58549
C0050273,BR039,18788,0,21.77,0.153,0.263,60000
C0029603,BR071,3270,2,1.32,0.029,0.578,8108
C0049535,BR090,9875,4,43.82,0.228,0.307,27742
C0019217,BR039,2823,4,63.05,0.035,0.628,7017
C0008888,BR044,18671,1,57.48,0.311,0.077,44324
C0021949,BR059,8842,7,52.66,0.104,0.185,30468
C0037816,BR046,10897,2,12.07,0.015,0.236,48231
C0006684,BR031,13695,2,33.83,0.397,0.562,57810
C0059454,BR090,12501,3,10.65,0.2,0.063,59990
C0028390,BR053,17975,6,32.86,0.229,0.09,53898
C0055361,BR083,16742,5,66.86,0.03,0.388,36877
C0020055,BR039,17820,4,16.9,0.163,0.309,60000
C0050615,BR056,5706,0,19.71,0.191,0.169,15160
C0049455,BR060,6936,1,26.96,0.136,0.325,34122
C0045387,BR071,19093,2,46.31,0.063,0.604,42560
C0055973,BR079,9489,2,27.71,0.332,0.521,31475
C0004878,BR056,13541,3,48.13,0.107,0.625,34260
C0002589,BR011,13846,0,14.31,0.076,0.166,38181
C0051318,BR001,6661,7,24.39,0.303,0.668,16564
C0015497,BR065,10331,3,22.84,0.431,0.157,38343
C0050497,BR014,15006,4,40.26,0.373,0.282,56011
C0013296,BR021,17294,3,21.36,0.048,0.137,60000
C0015369,BR040,9861,2,24.45,0.054,0.313,47690
C0015417,BR073,12445,4,21.17,0.085,0.312,46104
C0033279,BR045,11082,2,33.07,0.204,0.477,38981
C0011427,BR080,3510,4,16.52,0.649,0.437,10796
C0059983,BR027,13546,8,6.01,0.234,0.137,45825
C0054056,BR097,6904,2,56.53,0.08,0.278,22812
C0018927,BR056,12510,5,34.81,0.275,0.602,39801
C0026862,BR051,14265,4,17.02,0.024,0.181,60000
C0010534,BR040,5643,4,15.61,0.11,0.309,25924
C0036717,BR015,12347,3,17.78,0.436,0.065,57135
C0012761,BR097,5897,7,42.11,0.312,0.208,12132
C0033601,BR033,18147,2,52.41,0.227,0.474,49115
C0030226,BR035,12476,3,26.1,0.153,0.397,53213
C0002597,BR074,18079,4,9.52,0.211,0.21,54620
C0018457,BR070,12205,5,20.25,0.092,0.167,45118
C0030873,BR018,3371,3,59.77,0.126,0.691,8312
C0014534,BR091,1522,0,38.83,0.106,0.423,7316
C0052949,BR053,8352,4,68.23,0.049,0.572,24138
C0045795,BR083,19602,0,54.77,0.138,0.104,60000
C0001813,BR019,17687,4,45.16,0.307,0.493,52597
C0051910,BR082,8133,3,41.02,0.06,0.647,37702
C0009331,BR019,10769,7,24.64,0.103,0.522,37735
C0015729,BR016,14312,2,30.92,0.342,0.672,60000
C0010628,BR002,15190,2,24.84,0.13,0.357,60000
C0011273,BR060,5942,1,39.7,0.056,0.19,28990
C0058116,BR016,6180,5,53.7,0.251,0.235,24532
C0014303,BR083,14643,1,54.42,0.171,0.443,60000
C0043807,BR092,7513,1,40.5,0.3,0.069,16182
C0044480,BR085,17416,1,25.5,0.027,0.264,60000
C0020776,BR021,6431,6,50.97,0.26,0.274,28852
C0055245,BR025,14570,3,26.22,0.016,0.279,36230
C0033221,BR082,18944,4,61.0,0.164,0.122,60000
C0020977,BR087,13718,3,13.71,0.175,0.179,37733
C0035634,BR054,9102,2,23.15,0.198,0.231,38533
C0027978,BR011,12666,4,61.67,0.048,0.41,58942
C0044390,BR053,5187,4,49.68,0.044,0.445,20548
C0018128,BR003,10628,3,25.28,0.079,0.157,22934
C0015566,BR095,10984,3,15.22,0.201,0.559,30953
C0051335,BR077,17227,3,46.43,0.291,0.426,60000
C0024897,BR012,4815,5,17.38,0.214,0.319,16431
C0014955,BR098,12125,1,39.45,0.056,0.103,28172
C0051103,BR043,16664,3,12.15,0.437,0.492,35012
C0002900,BR050,8937,2,24.15,0.268,0.457,38322
C0037581,BR019,7828,2,61.23,0.133,0.318,34628
C0025574,BR010,13247,3,20.61,0.143,0.438,60000
C0023495,BR006,16444,3,55.33,0.385,0.452,33561
C0000233,BR081,4868,0,36.82,0.573,0.45,16317
C0040192,BR041,17287,3,23.02,0.015,0.534,60000
C0019459,BR063,17767,4,29.51,0.41,0.168,60000
C0045712,BR017,7734,6,64.76,0.093,0.062,24310
C0003065,BR010,16398,3,8.88,0.393,0.441,60000
C0025888,BR063,5318,2,0.65,0.005,0.415,14382
C0014417,BR075,5299,5,0.74,0.199,0.356,19682
C0048889,BR002,6042,3,6.69,0.311,0.331,13308
C0016027,BR091,11991,5,30.82,0.102,0.286,49513
C0054792,BR002,15135,4,51.03,0.055,0.194,39864
C0024397,BR046,12847,5,8.93,0.129,0.362,60000
C0003983,BR015,2079,3,36.43,0.213,0.028,5491
C0046768,BR064,3793,6,34.26,0.282,0.068,10917
C0024035,BR070,6711,3,33.54,0.064,0.344,18768
C0029165,BR060,13713,6,30.38,0.01,0.379,46773
C0018044,BR089,6429,2,28.33,0.266,0.15,30700
C0031730,BR035,18920,7,51.52,0.106,0.207,60000
C0019455,BR074,16735,4,13.38,0.282,0.413,47027
C0040223,BR083,5973,4,9.24,0.418,0.383,18903
C0036208,BR074,17506,5,17.83,0.231,0.203,40437
C0042614,BR079,17526,0,73.04,0.348,0.539,60000
C0030276,BR097,19727,2,18.8,0.097,0.568,60000
C0003668,BR024,12571,7,34.66,0.232,0.067,52927
C0007778,BR026,10322,0,24.02,0.23,0.352,35256
C0019075,BR025,14164,2,12.53,0.395,0.278,47756
C0012033,BR081,9372,2,33.02,0.195,0.675,22687
C0012163,BR020,13766,3,7.5,0.088,0.203,31098
C0036531,BR095,18525,5,7.61,0.132,0.48,60000
C0052841,BR096,4725,0,31.23,0.105,0.641,18644
C0012091,BR067,6351,2,34.78,0.349,0.324,29378
C0054261,BR036,3854,3,28.24,0.192,0.284,13413
C0059595,BR056,7448,0,20.08,0.098,0.063,33681
C0016920,BR007,1593,1,59.27,0.346,0.248,5000
C0051458,BR099,9603,2,18.37,0.029,0.294,21592
C0043709,BR064,4805,5,25.6,0.097,0.258,22101
C0042787,BR041,18294,2,26.01,0.173,0.718,52048
C0004511,BR037,8605,5,35.96,0.549,0.68,42321
C0025757,BR072,8426,1,25.79,0.145,0.285,39703
C0029137,BR084,15903,3,26.65,0.078,0.374,31866
C0058778,BR039,18114,7,16.68,0.284,0.292,57323
C0042802,BR043,6452,3,26.43,0.184,0.121,27066
C0059335,BR091,3931,5,22.86,0.379,0.503,18648
C0058933,BR085,5814,3,37.77,0.208,0.265,25669
C0001532,BR018,18596,3,18.93,0.17,0.362,48332
C0015963,BR014,3917,2,10.34,0.04,0.406,17117
C0031904,BR070,7597,4,0.72,0.259,0.201,17768
C0057143,BR038,4670,5,47.2,0.025,0.724,10538
C0032829,BR053,8758,1,9.12,0.126,0.449,28730
C0007768,BR008,2132,0,14.61,0.013,0.34,5000
C0022119,BR098,7050,3,20.14,0.237,0.073,28887
C0007396,BR072,7051,3,23.73,0.396,0.305,15363
C0017688,BR077,18294,6,9.17,0.124,0.148,60000
C0000765,BR057,13494,4,14.98,0.126,0.189,42205
C0045457,BR075,16606,6,24.44,0.46,0.701,60000
C0018296,BR077,10810,1,7.77,0.168,0.511,26123
C0022085,BR036,3094,5,15.93,0.085,0.3,9707
C0051942,BR090,18215,7,15.03,0.364,0.409,60000
C0011200,BR016,15779,3,11.76,0.135,0.328,40380
C0015565,BR015,7868,0,10.09,0.172,0.219,21861
C0037667,BR097,13886,0,3.88,0.18,0.63,60000
C0057827,BR035,3146,5,22.98,0.173,0.37,8804
C0047759,BR065,6986,2,7.88,0.271,0.16,18115
C0021304,BR005,12927,9,8.67,0.221,0.451,45202
C0052674,BR075,10306,3,29.09,0.255,0.399,39147
C0042393,BR092,14439,3,37.94,0.26,0.148,46157
C0042672,BR072,14409,2,26.62,0.088,0.055,48159
C0042098,BR070,19355,3,37.55,0.179,0.507,60000
C0024605,BR054,3938,0,49.32,0.187,0.284,16847
C0004759,BR085,18482,5,16.05,0.062,0.496,41196
C0011224,BR020,17961,3,33.79,0.486,0.195,47837
C0056124,BR022,15539,5,19.57,0.267,0.119,47019
C0013479,BR090,6171,1,10.04,0.228,0.245,17569
C0016778,BR013,4481,2,4.19,0.235,0.316,21862
C0041627,BR050,4027,1,23.26,0.178,0.241,14043
C0021932,BR089,10792,1,39.39,0.387,0.238,21888
C0011170,BR054,9752,2,44.37,0.425,0.718,33503
C0025880,BR057,3643,2,43.31,0.022,0.348,13068
C0051072,BR035,6821,3,30.74,0.328,0.104,17443
C0036153,BR089,3398,2,59.03,0.096,0.194,10213
C0001715,BR045,6173,1,47.18,0.136,0.406,29711
C0053195,BR026,7780,6,9.21,0.271,0.553,17216
